N,S(r/min),ap(mm),ae(mm),F(mm/min),s(mm),MRR(mm3/min),G
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G90 G00 X-73.55 Y-54.324 S15000 M03
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,2000,0,0,G43 H01 Z9.
,15000,0,0,6500,0,0,
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,2000,0,0,Z-1.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,G01 Y-50.324 F6500.
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,0,0,6500,0,0,Y-43.842
,15000,1,2.2,6500,0,238.333333,Y-43.842
,15000,1,4.8,6500,0,520,Y-43.842
,15000,1,6.2,6500,0,671.666667,Y-43.842
,15000,1,3.00983,6500,0,326.064917,X-73.552 Y-43.769
,15000,1,0.29441,6500,0,31.894417,X-73.552 Y-43.769
,15000,1,0.805177,6500,0,87.227508,X-73.552 Y-43.769
,15000,1,0.98867,6500,0,107.105917,X-73.552 Y-43.769
,15000,1,3.29055,6500,0,356.47625,X-73.552 Y-43.769
,15000,1,5.98953,6500,0,648.86575,X-73.552 Y-43.769
,15000,1,5.41167,6500,0,586.26425,X-73.552 Y-43.769
,15000,1,3.22619,6500,0,349.503917,X-73.552 Y-43.769
,15000,1,4.98991,6500,0,540.573583,X-73.552 Y-43.769
,15000,1,2.07191,6500,0,224.456917,X-73.668 Y-43.706
,15000,1,2.14236,6500,0,232.089,X-73.668 Y-43.706
,15000,1,2.65977,6500,0,288.14175,X-73.668 Y-43.706
,15000,1,2.96355,6500,0,321.05125,X-73.668 Y-43.706
,15000,1,1.5545,6500,0,168.404167,X-73.668 Y-43.706
,15000,1,2.74007,6500,0,296.840917,X-73.668 Y-43.706
,15000,1,0.31893,6500,0,34.55075,X-73.668 Y-43.706
,15000,1,0.971942,6500,0,105.293717,X-73.668 Y-43.706
,15000,1,3.26506,6500,0,353.714833,X-73.668 Y-43.706
,15000,1,3.80353,6500,0,412.049083,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.32856,6500,0,468.927333,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.93466,6500,0,534.588167,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,5.52027,6500,0,598.02925,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,6.09457,6500,0,660.245083,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,6.04981,6500,0,655.396083,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,5.64776,6500,0,611.840667,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,5.30467,6500,0,574.672583,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,5.25916,6500,0,569.742333,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,5.05086,6500,0,547.1765,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.90964,6500,0,531.877667,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.97459,6500,0,538.913917,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.92032,6500,0,533.034667,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.86979,6500,0,527.560583,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.96602,6500,0,537.9855,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,5.0921,6500,0,551.644167,G02 X-78.695 Y-37.561 I4.563 J8.86
,15000,1,4.56684,6500,0,494.741,G03 X-79.722 Y-35.549 I-4.977 J-1.273
,15000,1,3.93096,6500,0,425.854,G03 X-79.722 Y-35.549 I-4.977 J-1.273
,15000,1,3.30162,6500,0,357.6755,G03 X-79.722 Y-35.549 I-4.977 J-1.273
,15000,1,2.39796,6500,0,259.779,G03 X-79.722 Y-35.549 I-4.977 J-1.273
,15000,1,2.15646,6500,0,233.6165,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,2.02347,6500,0,219.20925,G02 X-83.35 Y-26.882 I13.089 J10.573
